;Luontobongaajien kerho ry
; Kenttien järjestys tiedostossa on seuraava:
;id|nimi|tieteellinen_nimi|heimo|laji
124|Hemppo|Linaria cannabina|Peipot, Fringillidae|Lintu
125|Tiltaltti|Phylloscopus collybita|Uunilinnut, Phylloscopidae|Lintu
126|Lapinkirvinen|Anthus cervinus|Västäräkit, Motacillidae|Lintu
127|Kultarinta|Hippolais icterina|Kerttuset, Acrocephalidae|Lintu
128|Kiiruna|Lagopus muta|Aitokanat, Phasianidae|Lintu
129|Sääksi|Pandion haliaetus|Haukat, Accipitridae|Lintu
130|Kyhmyhaahka|Somateria spectabilis|Sorsat, Anatidae|Lintu
131|Hernekerttu|Sylvia curruca|Kertut, Sylviidae|Lintu
132|Mustaviklo|Tringa erythropus|Kurpat, Scolopacidae|Lintu
133|Hiiripöllö|Surnia ulula|Pöllöt, Strigidae|Lintu
134|Valkoviklo|Tringa nebularia|Kurpat, Scolopacidae|Lintu
135|Punakuiri|Limosa lapponica|Kurpat, Scolopacidae|Lintu
136|Pikkusirri|Calidris minuta|Kurpat, Scolopacidae|Lintu
137|Viherpeippo|Chloris chloris|Peipot, Fringillidae|Lintu
138|Ristisorsa|Tadorna tadorna|Sorsat, Anatidae|Lintu
139|Punakylkirastas|Turdus iliacus|Rastaat, Turdidae|Lintu
140|Kanadanhanhi|Branta canadensis|Sorsat, Anatidae|Lintu
141|Mandariinisorsa|Aix galericulata|Sorsat, Anatidae|Lintu
142|Mehiläishaukka|Pernis apivorus|Haukat, Accipitridae|Lintu
143|Turkinkyyhky|Streptopelia decaocto|Kyyhkyt, Columbidae|Lintu
144|Lapasorsa|Spatula clypeata|Sorsat, Anatidae|Lintu
145|Harmaasieppo|Muscicapa striata|Siepot, Muscicapidae|Lintu
146|Järripeippo|Fringilla montifringilla|Peipot, Fringillidae|Lintu
147|Viiriäinen|Coturnix coturnix|Aitokanat, Phasianidae|Lintu
148|Allihaahka|Polysticta stelleri|Sorsat, Anatidae|Lintu
149|Hömötiainen|Poecile montanus|Tiaiset, Paridae|Lintu
150|Ampuhaukka|Falco columbarius|Jalohaukat, Falconidae|Lintu
151|Kurki|Grus grus|Kurjet, Gruidae|Lintu
152|Piekana|Buteo lagopus|Haukat, Accipitridae|Lintu
153|Isolokki|Larus hyperboreus|Lokit, Laridae|Lintu
154|Pensastasku|Saxicola rubetra|Siepot, Muscicapidae|Lintu
155|Lehtopöllö|Strix aluco|Pöllöt, Strigidae|Lintu
156|Keltavästäräkki|Motacilla flava|Västäräkit, Motacillidae|Lintu
157|Peltosirkku|Emberiza hortulana|Sirkut, Emberizidae|Lintu
158|Mustapääkerttu|Sylvia atricapilla|Kertut, Sylviidae|Lintu
159|Punasotka|Aythya ferina|Sorsat, Anatidae|Lintu
160|Riekko|Lagopus lagopus|Aitokanat, Phasianidae|Lintu
161|Mehiläissyöjä|Merops apiaster|Mehiläissyöjät, Meropidae|Lintu
162|Alli|Clangula hyemalis|Sorsat, Anatidae|Lintu
163|Mustavaris|Corvus frugilegus|Varikset, Corvidae|Lintu
164|Kuikka|Gavia arctica|Kuikat, Gaviidae|Lintu
165|Korppi|Corvus corax|Varikset, Corvidae|Lintu
166|Jänkäsirriäinen|Calidris falcinellus|Kurpat, Scolopacidae|Lintu
167|Taviokuurna|Pinicola enucleator|Peipot, Fringillidae|Lintu
168|Talitiainen|Parus major|Tiaiset, Paridae|Lintu
169|Merikotka|Haliaeetus albicilla|Haukat, Accipitridae|Lintu
170|Telkkä|Bucephala clangula|Sorsat, Anatidae|Lintu
171|Niittykirvinen|Anthus pratensis|Västäräkit, Motacillidae|Lintu
172|Rantakurvi|Xenus cinereus|Kurpat, Scolopacidae|Lintu
173|Kalatiira|Sterna hirundo|Tiirat, Sternidae|Lintu
174|Viirupöllö|Strix uralensis|Pöllöt, Strigidae|Lintu
175|Sepelrastas|Turdus torquatus|Rastaat, Turdidae|Lintu
176|Haarapääsky|Hirundo rustica|Pääskyt, Hirundinidae|Lintu
177|Pilkkasiipi|Melanitta fusca|Sorsat, Anatidae|Lintu
178|Kiuru|Alauda arvensis|Kiurut, Alaudidae|Lintu
179|Lapintiira|Sterna paradisaea|Tiirat, Sternidae|Lintu
180|Tunturipöllö|Bubo scandiacus|Pöllöt, Strigidae|Lintu
181|Kuusitiainen|Periparus ater|Tiaiset, Paridae|Lintu
182|Punajalkahaukka|Falco vespertinus|Jalohaukat, Falconidae|Lintu
183|Metsähanhi|Anser fabalis|Sorsat, Anatidae|Lintu
184|Kanahaukka|Accipiter gentilis|Haukat, Accipitridae|Lintu
